order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDI09332,2021-12-05,19:09:17,Dinner,NS,"[('Fish&Chips', 2), ('Salmon', 9), ('Pasta', 1), ('Shrimp', 10)]",1006.5,-37.8190398,144.9543176,0,9.174,17.3135584
ORDX05315,2021-08-30,15:56:37,Lunch,BK,"[('Burger', 9), ('Steak', 6), ('Fries', 7), ('Chicken', 3)]",729.0,-37.8008898,144.9875595,0,6.128,12.4073894
ORDI06804,2021-07-04,14:05:04,Lunch,NS,"[('Chicken', 6), ('Fries', 2)]",216.0,-37.8034065,144.9665448,0,6.71,14.0585544
ORDC03715,2021-02-06,09:10:59,Breakfast,NS,"[('Eggs', 2), ('Cereal', 5), ('Coffee', 4), ('Pancake', 2)]",208.5,-37.8152227,144.9712459,0,7.836,15.1574137
ORDZ03099,2021-08-31,15:56:37,Lunch,NS,"[('Chicken', 8), ('Salad', 2), ('Steak', 5)]",515.4,-37.8082812,144.9802632,0,7.671,13.3509096
ORDX02316,2021-06-16,13:24:30,Lunch,BK,"[('Steak', 2), ('Salad', 6), ('Burger', 9)]",472.2,-37.8078938,144.9733125,0,6.503,12.6818392
ORDK00233,2021-06-05,13:04:13,Lunch,BK,"[('Salad', 2), ('Chicken', 7), ('Burger', 6)]",444.4,-37.8147988,144.9377038,0,9.931,18.3962848
ORDZ07084,2021-10-28,17:58:18,Dinner,NS,"[('Salmon', 9), ('Shrimp', 4), ('Pasta', 4), ('Fish&Chips', 10)]",1045.0,-37.8192067,144.9651663,0,8.657,14.9339715
ORDX05191,2021-03-29,10:52:23,Breakfast,,"[('Pancake', 1), ('Coffee', 6), ('Cereal', 2), ('Eggs', 2)]",137.25,-37.8164844,145.005003,0,4.192,
ORDI05894,2021-10-03,17:07:36,Dinner,NS,"[('Fish&Chips', 1), ('Shrimp', 7), ('Salmon', 3), ('Pasta', 5)]",673.5,-37.8061549,144.9458972,0,8.96,
ORDX06925,2021-12-22,19:49:51,Dinner,BK,"[('Fish&Chips', 10), ('Pasta', 4), ('Salmon', 5)]",665.0,-37.8159039,144.9652291,0,7.647,14.5860515
ORDJ07599,2021-01-19,08:30:25,Breakfast,TP,"[('Coffee', 3), ('Cereal', 4), ('Eggs', 1)]",117.5,-37.8144221,144.961358,0,8.36,10.8004983
ORDC01422,2021-10-09,17:17:44,Dinner,NS,"[('Fish&Chips', 7), ('Salmon', 5), ('Pasta', 1)]",477.5,-37.799343,144.9639792,0,6.817,15.0043073
ORDI07793,2021-04-16,11:22:49,Breakfast,NS,"[('Eggs', 4), ('Coffee', 7), ('Pancake', 8), ('Cereal', 9)]",480.5,-37.8229212,144.9874797,0,9.478,
ORDJ04206,2021-12-10,19:19:26,Dinner,TP,"[('Pasta', 7), ('Fish&Chips', 5), ('Shrimp', 3)]",529.5,-37.807367,144.9629436,0,8.922,13.2210749
ORDI07010,2021-03-20,10:32:06,Breakfast,NS,"[('Eggs', 7), ('Coffee', 6)]",180.0,-37.8052643,144.9695957,0,6.632,13.7985217
ORDY00462,2021-09-03,16:06:45,Dinner,TP,"[('Shrimp', 10), ('Fish&Chips', 9)]",855.0,-37.8244101,144.955135,0,8.713,13.3024792
ORDA05151,2021-10-24,17:48:10,Dinner,BK,"[('Salmon', 2), ('Shrimp', 4)]",298.0,-37.8173216,144.9914538,0,5.584,15.1531336
ORDI08461,2021-02-24,09:41:24,Breakfast,NS,"[('Cereal', 5), ('Coffee', 3), ('Eggs', 4)]",200.5,-37.8116575,144.9482588,0,8.865,13.6083955
ORDI11025,2021-06-10,13:14:21,Lunch,NS,"[('Chicken', 8), ('Fries', 2), ('Burger', 1)]",311.0,-37.8218441,145.0153367,0,11.688,17.4125563
ORDK05611,2021-10-06,17:07:36,Dinner,BK,"[('Fish&Chips', 5), ('Shrimp', 1), ('Salmon', 3)]",352.0,-37.8051113,144.9578163,0,7.971,15.3834353
ORDA07968,2021-11-28,18:59:09,Dinner,BK,"[('Pasta', 9), ('Fish&Chips', 6)]",457.5,-37.8106139,145.0104371,0,3.955,13.2280911
