order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDK06792,2021-01-01,08:00:00,Breakfast,BK,"[('Pancake', 3), ('Coffee', 1), ('Cereal', 1)]",92.25,-37.8115894,144.9407833,1,9.637,6.7528455
ORDK02204,2021-06-11,13:14:21,Lunch,BK,"[('Steak', 6), ('Fries', 10), ('Chicken', 3), ('Burger', 6), ('Salad', 10)]",844.0,-37.8250792,144.9827779,0,7.106,13.2829171
ORDJ09116,2021-09-22,16:47:19,Dinner,TP,"[('Shrimp', 9), ('Pasta', 2), ('Fish&Chips', 10)]",891.0,-37.8165701,144.9900578,0,9.79,13.8214522
ORDY10134,2021-05-19,12:33:48,Lunch,TP,"[('Steak', 1), ('Burger', 10)]",355.0,-37.8132239,144.9485357,0,10.216,13.2260139
ORDJ04394,2021-11-29,18:59:09,Dinner,TP,"[('Fish&Chips', 7), ('Shrimp', 9)]",731.0,-37.8245126,144.9821901,0,8.873,6.5039187
ORDB10713,2021-08-10,15:16:03,Lunch,TP,"[('Chicken', 9), ('Fries', 7)]",372.0,-37.8021246,144.9659489,0,9.652,12.8911126
ORDB04511,2021-12-18,19:39:43,Dinner,TP,"[('Fish&Chips', 5), ('Pasta', 10)]",450.0,-37.8171928,144.9531503,0,8.618,13.9501699
ORDJ00779,2021-04-09,11:12:40,Breakfast,TP,"[('Eggs', 10), ('Coffee', 9), ('Pancake', 8), ('Cereal', 2)]",477.5,-37.818797,144.9569116,0,8.118,11.2200784
ORDJ09338,2021-06-05,13:04:13,Lunch,TP,"[('Salad', 6), ('Steak', 9), ('Burger', 10), ('Chicken', 10)]",1138.2,-37.807172,144.9570636,0,9.223,21.402679499999998
ORDZ04539,2021-10-19,17:38:01,Dinner,NS,"[('Pasta', 3), ('Fish&Chips', 2), ('Shrimp', 6), ('Salmon', 10)]",886.5,-37.8031915,144.9605686,0,7.234,19.184123999999997
ORDZ10763,2021-02-12,09:21:07,Breakfast,NS,"[('Pancake', 9), ('Cereal', 4), ('Eggs', 3), ('Coffee', 8)]",387.25,-37.8206146,144.9837337,0,9.199,13.8532148
ORDI09484,2021-10-24,17:48:10,Dinner,NS,"[('Fish&Chips', 2), ('Shrimp', 9), ('Salmon', 8)]",884.0,-37.8167908,144.9915408,0,9.434,17.1429262
ORDA05343,2021-08-31,15:56:37,Lunch,BK,"[('Steak', 8), ('Burger', 4)]",484.0,-37.8143067,144.9876932,0,5.585,11.9186171
